source	run	sample	experiment	library_name	library_strategy	library_selection	library_source	library_layout	insert_size
PRJNA192205_runinfo.csv	SRR11824048	E_Vi_C57	SRX8374650	pb_410_004_run1_B02_1	WGS	RANDOM	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR11824049	E_Vi_C57	SRX8374649	pb_410_004_run3_A01_1	WGS	RANDOM	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR11824050	E_Vi_C57	SRX8374648	pb_410_004_run3_G01_1	WGS	RANDOM	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR11824090	S_Up_H37	SRX8374608	ps_024_007/r54032_20170907_124510/7_G01	WGS	RANDOM	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR11824057	D_Ko_C04	SRX8374641	pb_375_004_run3_E01_1	WGS	RANDOM	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR11824068	D_Ko_C04	SRX8374630	pb_375_004_run3_C01_1	WGS	RANDOM	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR11824051	E_Vi_C57	SRX8374647	pb_410_004_run2_B02_1	WGS	RANDOM	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR11824052	E_Vi_C57	SRX8374646	pb_410_004_run3_F01_1	WGS	RANDOM	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR11824112	S_Up_H03	SRX8374586	ps_024_006/r54032_20170907_124510/2_B01	WGS	RANDOM	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR11824091	S_Up_H37	SRX8374607	ps_024_007/r54032_20170907_124510/6_F01	WGS	RANDOM	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR11824092	S_Up_H37	SRX8374606	ps_024_007/r54032_20170907_124510/4_D01	WGS	RANDOM	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR11824093	S_Up_H37	SRX8374605	ps_024_007/r54032_20170907_124510/5_E01	WGS	RANDOM	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR11824095	S_Up_H37	SRX8374603	ps_024_007/r54032_20170907_124510/8_H01	WGS	RANDOM	GENOMIC	SINGLE	0
PRJNA192205_runinfo.csv	SRR11824118	D_Ra_C05	SRX8374580	ps_024_021/r54032_20171009_123736/2_B01	WGS	RANDOM	GENOMIC	SINGLE	0
